base_seed,question_id,video_path,variable_correct,forced_k16_correct,correctness_delta,variable_prediction,forced_k16_prediction
440827,194,clip_av_video_12_001.mp4,1,1,0,D,D
440827,195,clip_av_video_12_001.mp4,0,0,0,A,A
440827,196,clip_av_video_12_001.mp4,1,1,0,A,A
440827,197,clip_household_video_9_000.mp4,1,1,0,B,B
440827,198,clip_av_video_9_000.mp4,1,1,0,A,A
440827,199,clip_av_video_9_000.mp4,1,1,0,C,C
440827,200,clip_av_video_9_001.mp4,0,0,0,B,B
440827,201,clip_av_video_9_001.mp4,1,1,0,D,D
440827,202,clip_av_video_9_001.mp4,1,0,1,D,B
440827,203,clip_av_video_9_002.mp4,1,1,0,C,C
440827,204,clip_av_video_9_002.mp4,1,1,0,B,B
440827,205,clip_av_video_9_002.mp4,0,0,0,C,C
440827,206,clip_av_video_21_001.mp4,1,1,0,A,A
440827,207,clip_av_video_4_000.mp4,1,1,0,C,C
440827,208,clip_av_video_7_000.mp4,1,1,0,B,B
440827,209,clip_av_video_7_001.mp4,0,0,0,D,B
440827,210,clip_av_video_13_000.mp4,0,0,0,D,D
440827,211,clip_av_video_13_000.mp4,0,0,0,C,C
440827,212,clip_av_video_13_000.mp4,1,1,0,B,B
440827,213,clip_av_video_13_001.mp4,0,0,0,A,A
440827,214,clip_av_video_13_001.mp4,0,0,0,A,A
440827,215,clip_av_video_13_002.mp4,1,1,0,A,A
440827,216,clip_av_video_13_002.mp4,0,0,0,B,A
440827,217,clip_av_video_13_002.mp4,1,1,0,D,D
440827,218,clip_av_video_13_002.mp4,1,1,0,B,B
440827,219,clip_av_video_13_002.mp4,1,1,0,A,A
440827,220,clip_av_video_13_002.mp4,1,1,0,D,D
440827,221,clip_av_video_13_002.mp4,1,1,0,D,D
440827,222,clip_av_video_13_003.mp4,1,1,0,C,C
440827,223,clip_av_video_13_003.mp4,0,0,0,C,D
440827,224,clip_av_video_13_003.mp4,0,0,0,C,C
440827,225,clip_av_video_13_003.mp4,1,1,0,A,A
440827,226,clip_av_video_13_003.mp4,0,0,0,B,B
440827,227,clip_av_video_13_004.mp4,1,1,0,C,C
440827,228,clip_av_video_20_000.mp4,0,0,0,D,D
440827,229,clip_av_video_11_000.mp4,1,1,0,B,B
440827,230,clip_av_video_13_004.mp4,1,1,0,D,D
440827,231,clip_av_video_14_000.mp4,1,0,1,B,C
440827,232,clip_av_video_1_000.mp4,0,0,0,D,D
440827,233,clip_av_video_20_000.mp4,1,1,0,B,B
440827,234,clip_av_video_21_000.mp4,0,0,0,C,C
440827,235,clip_av_video_21_001.mp4,1,0,1,C,B
440827,236,clip_av_video_24_000.mp4,0,0,0,A,A
440827,237,clip_av_video_24_001.mp4,1,1,0,D,D
440827,238,clip_av_video_24_004.mp4,0,0,0,C,C
440827,239,clip_av_video_24_005.mp4,0,0,0,D,D
440827,240,clip_av_video_4_000.mp4,1,1,0,C,C
440827,241,clip_av_video_6_001.mp4,0,0,0,B,B
440827,242,clip_av_video_7_000.mp4,1,1,0,B,B
440827,243,clip_av_video_7_001.mp4,1,0,1,B,A
440827,244,clip_av_video_9_001.mp4,0,1,-1,C,D
440827,245,clip_household_video_11_000.mp4,0,0,0,A,A
440827,246,clip_household_video_17_000.mp4,0,0,0,A,A
440827,247,clip_household_video_17_000.mp4,0,0,0,D,B
440827,248,clip_household_video_17_000.mp4,1,1,0,C,C
440827,249,clip_household_video_17_001.mp4,0,0,0,C,C
440827,250,clip_household_video_17_001.mp4,1,0,1,B,D
440827,251,clip_household_video_19_000.mp4,1,1,0,A,A
440827,252,clip_household_video_19_001.mp4,1,1,0,B,B
440827,253,clip_household_video_19_002.mp4,1,1,0,C,C
440827,254,clip_household_video_19_002.mp4,1,0,1,A,B
440827,255,clip_household_video_19_003.mp4,0,0,0,B,B
440827,256,clip_household_video_19_004.mp4,0,0,0,C,C
440827,257,clip_household_video_19_005.mp4,0,0,0,C,C
440827,258,clip_household_video_19_005.mp4,0,0,0,B,A
440827,259,clip_household_video_19_005.mp4,0,0,0,C,C
440827,260,clip_household_video_19_006.mp4,1,1,0,C,C
440827,261,clip_household_video_19_006.mp4,1,1,0,D,D
440827,262,clip_household_video_19_006.mp4,1,1,0,A,A
440827,263,clip_household_video_4_000.mp4,1,1,0,A,A
440827,264,clip_household_video_4_000.mp4,0,0,0,A,B
440827,265,clip_household_video_9_000.mp4,0,0,0,C,C
440827,266,clip_household_video_9_000.mp4,0,0,0,C,C
440827,267,clip_household_video_9_000.mp4,1,1,0,B,B
440828,0,clip_av_video_3_000.mp4,1,1,0,B,B
440828,1,clip_av_video_3_000.mp4,0,0,0,B,B
440828,2,clip_av_video_3_000.mp4,0,0,0,C,C
440828,3,clip_av_video_3_000.mp4,0,0,0,A,A
440828,4,clip_av_video_3_000.mp4,0,0,0,A,A
440828,5,clip_av_video_3_001.mp4,0,0,0,A,A
440828,6,clip_av_video_3_001.mp4,0,1,-1,D,B
440828,7,clip_av_video_3_001.mp4,0,0,0,D,C
440828,8,clip_household_video_0_000.mp4,1,1,0,C,C
440828,9,clip_household_video_0_000.mp4,0,0,0,B,B
440828,10,clip_household_video_0_000.mp4,1,1,0,C,C
440828,11,clip_household_video_0_000.mp4,0,1,-1,D,A
440828,12,clip_household_video_0_001.mp4,1,1,0,A,A
440828,13,clip_household_video_0_001.mp4,1,1,0,A,A
440828,14,clip_household_video_0_001.mp4,0,1,-1,D,B
440828,15,clip_household_video_0_001.mp4,0,0,0,B,B
440828,16,clip_household_video_0_001.mp4,0,0,0,A,A
440828,17,clip_household_video_0_001.mp4,0,0,0,D,B
440828,18,clip_household_video_0_001.mp4,1,1,0,A,A
440828,19,clip_household_video_0_001.mp4,1,1,0,B,B
440828,20,clip_household_video_14_000.mp4,1,1,0,A,A
440828,21,clip_household_video_14_000.mp4,1,1,0,C,C
440828,22,clip_household_video_14_000.mp4,1,1,0,C,C
440828,23,clip_household_video_14_000.mp4,1,1,0,B,B
440828,24,clip_household_video_14_000.mp4,1,1,0,A,A
440828,25,clip_household_video_14_000.mp4,0,0,0,C,C
440828,26,clip_household_video_14_000.mp4,1,1,0,C,C
440828,27,clip_household_video_14_000.mp4,1,1,0,B,B
440828,28,clip_household_video_14_000.mp4,1,1,0,C,C
440828,29,clip_household_video_14_000.mp4,1,1,0,D,D
440828,30,clip_household_video_14_000.mp4,0,0,0,A,A
440828,31,clip_household_video_14_000.mp4,1,1,0,D,D
440828,32,clip_household_video_14_000.mp4,1,1,0,D,D
440828,33,clip_household_video_14_000.mp4,0,0,0,C,C
440828,34,clip_household_video_14_000.mp4,0,0,0,B,B
440828,35,clip_household_video_14_000.mp4,1,1,0,C,C
440828,36,clip_household_video_14_000.mp4,1,1,0,A,A
440828,37,clip_household_video_14_000.mp4,0,0,0,B,B
440828,38,clip_household_video_14_000.mp4,1,1,0,C,C
440828,39,clip_household_video_14_000.mp4,0,0,0,D,D
440828,40,clip_household_video_14_000.mp4,0,0,0,D,D
440828,41,clip_household_video_14_000.mp4,1,1,0,B,B
440828,42,clip_household_video_14_000.mp4,0,0,0,D,D
440828,43,clip_household_video_14_000.mp4,0,0,0,C,C
440828,44,clip_household_video_14_000.mp4,1,1,0,D,D
440828,45,clip_household_video_14_000.mp4,1,1,0,C,C
440828,46,clip_household_video_14_000.mp4,1,1,0,C,C
440828,47,clip_household_video_14_000.mp4,1,1,0,D,D
440828,48,clip_household_video_14_000.mp4,0,0,0,D,B
440828,49,clip_household_video_14_000.mp4,1,1,0,B,B
440828,50,clip_household_video_14_001.mp4,0,0,0,D,D
440828,51,clip_household_video_14_001.mp4,0,0,0,D,D
440828,52,clip_household_video_14_001.mp4,1,1,0,D,D
440828,53,clip_household_video_14_001.mp4,0,0,0,D,D
440828,54,clip_household_video_14_001.mp4,1,1,0,D,D
440828,55,clip_household_video_14_001.mp4,1,1,0,D,D
440828,56,clip_household_video_14_001.mp4,0,0,0,D,D
440828,57,clip_household_video_14_001.mp4,0,0,0,A,A
440828,58,clip_household_video_14_001.mp4,0,0,0,A,A
440828,59,clip_household_video_14_001.mp4,0,0,0,B,B
440828,60,clip_household_video_14_001.mp4,0,0,0,C,C
440828,61,clip_household_video_14_001.mp4,0,0,0,A,D
440828,62,clip_household_video_14_001.mp4,0,0,0,D,D
440828,63,clip_household_video_14_002.mp4,0,1,-1,D,B
440828,64,clip_household_video_14_002.mp4,0,0,0,D,D
440828,65,clip_household_video_14_002.mp4,1,1,0,C,C
440828,66,clip_household_video_14_002.mp4,0,0,0,D,D
440828,67,clip_household_video_14_002.mp4,1,0,1,B,A
440828,68,clip_household_video_14_002.mp4,1,1,0,B,B
440828,69,clip_household_video_14_002.mp4,1,1,0,D,D
440828,70,clip_household_video_14_002.mp4,0,1,-1,B,A
440828,71,clip_household_video_14_002.mp4,0,0,0,A,A
440828,72,clip_household_video_14_002.mp4,0,0,0,A,A
440828,73,clip_household_video_14_002.mp4,1,1,0,B,B
440828,74,clip_household_video_14_002.mp4,0,0,0,B,B
440828,75,clip_household_video_14_002.mp4,0,1,-1,D,A
440828,76,clip_household_video_14_002.mp4,0,1,-1,B,C
440828,77,clip_household_video_14_003.mp4,0,1,-1,A,B
440828,78,clip_household_video_14_003.mp4,0,0,0,A,A
440828,79,clip_av_video_0_000.mp4,1,1,0,B,B
440828,80,clip_av_video_0_000.mp4,0,0,0,B,B
440828,81,clip_av_video_0_000.mp4,0,1,-1,C,D
440828,82,clip_av_video_0_000.mp4,0,1,-1,D,C
440828,83,clip_av_video_0_000.mp4,0,0,0,D,D
440828,84,clip_av_video_0_001.mp4,0,0,0,D,A
440828,85,clip_av_video_0_001.mp4,1,1,0,D,D
440828,86,clip_av_video_0_001.mp4,0,0,0,D,D
440828,87,clip_av_video_0_002.mp4,1,1,0,A,A
440828,88,clip_av_video_0_003.mp4,0,1,-1,C,D
440828,89,clip_av_video_0_003.mp4,0,0,0,A,A
440828,90,clip_av_video_5_000.mp4,0,0,0,B,B
440828,91,clip_av_video_5_001.mp4,1,1,0,B,B
440828,92,clip_av_video_5_001.mp4,1,1,0,B,B
440828,93,clip_av_video_5_002.mp4,0,0,0,B,B
440828,94,clip_av_video_5_002.mp4,1,1,0,B,B
440828,95,clip_av_video_5_002.mp4,0,0,0,D,D
440828,96,clip_av_video_5_002.mp4,0,0,0,B,A
440828,97,clip_av_video_5_002.mp4,0,0,0,D,D
440828,98,clip_av_video_5_003.mp4,1,1,0,C,C
440828,99,clip_av_video_25_000.mp4,1,1,0,C,C
440828,100,clip_av_video_25_000.mp4,0,0,0,D,D
440828,101,clip_av_video_25_000.mp4,1,1,0,D,D
440828,102,clip_av_video_25_000.mp4,1,1,0,C,C
440828,103,clip_av_video_25_000.mp4,1,1,0,D,D
440828,104,clip_av_video_25_000.mp4,0,0,0,C,C
440828,105,clip_av_video_25_001.mp4,1,0,1,D,C
440828,106,clip_av_video_25_001.mp4,0,0,0,B,B
440828,107,clip_av_video_23_000.mp4,1,1,0,C,C
440828,108,clip_av_video_23_001.mp4,0,0,0,A,A
440828,109,clip_av_video_23_001.mp4,0,0,0,C,C
440828,110,clip_av_video_23_001.mp4,0,0,0,B,B
440828,111,clip_av_video_23_001.mp4,0,0,0,C,C
440828,112,clip_av_video_23_002.mp4,1,1,0,C,C
440828,113,clip_household_video_16_000.mp4,0,0,0,A,A
440828,114,clip_household_video_16_001.mp4,0,0,0,B,B
440828,115,clip_household_video_16_001.mp4,0,0,0,B,B
440828,116,clip_household_video_16_001.mp4,0,0,0,A,A
440828,117,clip_household_video_17_000.mp4,0,0,0,B,B
440828,118,clip_household_video_17_000.mp4,1,1,0,B,B
440828,119,clip_household_video_17_000.mp4,1,1,0,D,D
440828,120,clip_household_video_17_000.mp4,1,1,0,B,B
440828,121,clip_household_video_17_000.mp4,1,1,0,A,A
440828,122,clip_household_video_17_000.mp4,1,1,0,D,D
440828,123,clip_household_video_17_000.mp4,1,0,1,D,B
440828,124,clip_household_video_17_000.mp4,1,1,0,C,C
440828,125,clip_household_video_17_000.mp4,0,0,0,C,C
440828,126,clip_av_video_10_000.mp4,1,1,0,C,C
440828,127,clip_av_video_10_000.mp4,1,1,0,D,D
440828,128,clip_av_video_10_000.mp4,1,1,0,B,B
440828,129,clip_av_video_10_001.mp4,1,1,0,C,C
440828,130,clip_av_video_10_001.mp4,0,0,0,A,A
440828,131,clip_av_video_1_001.mp4,1,1,0,D,D
440828,132,clip_av_video_6_000.mp4,0,0,0,D,D
440828,133,clip_av_video_6_000.mp4,0,0,0,B,B
440828,134,clip_av_video_6_000.mp4,1,0,1,D,B
440828,135,clip_av_video_6_001.mp4,0,0,0,D,D
440828,136,clip_av_video_16_000.mp4,0,1,-1,D,A
440828,137,clip_av_video_16_000.mp4,0,0,0,D,D
440828,138,clip_av_video_16_000.mp4,0,0,0,C,C
440828,139,clip_av_video_16_000.mp4,1,1,0,A,A
440828,140,clip_av_video_16_000.mp4,0,1,-1,D,C
440828,141,clip_av_video_16_000.mp4,0,0,0,A,A
440828,142,clip_av_video_16_001.mp4,0,0,0,A,A
440828,143,clip_av_video_16_001.mp4,0,0,0,B,B
440828,144,clip_av_video_16_001.mp4,1,1,0,B,B
440828,145,clip_av_video_16_001.mp4,0,0,0,B,B
440828,146,clip_av_video_16_001.mp4,0,0,0,D,D
440828,147,clip_av_video_16_001.mp4,0,0,0,A,A
440828,148,clip_av_video_16_002.mp4,1,1,0,C,C
440828,149,clip_av_video_16_002.mp4,0,0,0,A,A
440828,150,clip_av_video_16_002.mp4,0,0,0,A,B
440828,151,clip_household_video_19_000.mp4,0,0,0,A,A
440828,152,clip_household_video_19_000.mp4,1,1,0,C,C
440828,153,clip_household_video_19_000.mp4,0,0,0,A,A
440828,154,clip_household_video_19_001.mp4,0,0,0,C,A
440828,155,clip_household_video_19_001.mp4,1,1,0,B,B
440828,156,clip_household_video_19_003.mp4,0,0,0,B,B
440828,157,clip_household_video_19_003.mp4,1,1,0,A,A
440828,158,clip_household_video_19_003.mp4,0,0,0,C,C
440828,159,clip_household_video_19_004.mp4,1,1,0,B,B
440828,160,clip_household_video_19_004.mp4,0,1,-1,D,B
440828,161,clip_av_video_19_000.mp4,1,1,0,B,B
440828,162,clip_av_video_19_000.mp4,1,1,0,D,D
440828,163,clip_av_video_19_001.mp4,0,0,0,C,C
440828,164,clip_av_video_19_001.mp4,1,1,0,A,A
440828,165,clip_av_video_2_000.mp4,1,1,0,C,C
440828,166,clip_av_video_2_000.mp4,1,1,0,C,C
440828,167,clip_av_video_2_000.mp4,0,0,0,D,D
440828,168,clip_av_video_2_000.mp4,0,0,0,A,A
440828,169,clip_av_video_2_000.mp4,0,0,0,D,D
440828,170,clip_av_video_2_001.mp4,0,0,0,A,A
440828,171,clip_av_video_2_001.mp4,0,0,0,D,D
440828,172,clip_av_video_2_002.mp4,0,0,0,B,B
440828,173,clip_av_video_2_002.mp4,0,0,0,D,A
440828,174,clip_av_video_2_002.mp4,1,0,1,C,B
440828,175,clip_av_video_2_002.mp4,0,0,0,B,B
440828,176,clip_av_video_2_002.mp4,0,0,0,D,D
440828,177,clip_household_video_11_000.mp4,0,1,-1,D,C
440828,178,clip_household_video_11_002.mp4,1,1,0,D,D
440828,179,clip_av_video_8_000.mp4,0,0,0,A,A
440828,180,clip_av_video_8_001.mp4,1,1,0,B,B
440828,181,clip_av_video_14_000.mp4,1,1,0,C,C
440828,182,clip_av_video_14_001.mp4,0,0,0,A,A
440828,183,clip_av_video_24_000.mp4,1,0,1,A,B
440828,184,clip_av_video_24_001.mp4,1,1,0,B,B
440828,185,clip_av_video_24_002.mp4,0,0,0,A,A
440828,186,clip_av_video_24_002.mp4,1,1,0,D,D
440828,187,clip_av_video_24_002.mp4,1,1,0,C,C
440828,188,clip_av_video_24_004.mp4,1,1,0,C,C
440828,189,clip_av_video_24_005.mp4,1,1,0,B,B
440828,190,clip_av_video_24_006.mp4,0,0,0,B,B
440828,191,clip_household_video_4_000.mp4,0,0,0,B,B
440828,192,clip_household_video_4_000.mp4,1,0,1,D,A
440828,193,clip_av_video_12_000.mp4,0,0,0,B,B
440828,194,clip_av_video_12_001.mp4,1,1,0,D,D
440828,195,clip_av_video_12_001.mp4,0,0,0,A,A
440828,196,clip_av_video_12_001.mp4,1,1,0,A,A
440828,197,clip_household_video_9_000.mp4,1,1,0,B,B
440828,198,clip_av_video_9_000.mp4,1,1,0,A,A
440828,199,clip_av_video_9_000.mp4,1,1,0,C,C
440828,200,clip_av_video_9_001.mp4,0,0,0,A,A
440828,201,clip_av_video_9_001.mp4,1,1,0,D,D
440828,202,clip_av_video_9_001.mp4,1,0,1,D,A
440828,203,clip_av_video_9_002.mp4,1,1,0,C,C
440828,204,clip_av_video_9_002.mp4,1,1,0,B,B
440828,205,clip_av_video_9_002.mp4,0,0,0,C,D
440828,206,clip_av_video_21_001.mp4,1,1,0,A,A
440828,207,clip_av_video_4_000.mp4,1,1,0,C,C
440828,208,clip_av_video_7_000.mp4,1,1,0,B,B
440828,209,clip_av_video_7_001.mp4,0,0,0,D,B
440828,210,clip_av_video_13_000.mp4,0,0,0,D,D
440828,211,clip_av_video_13_000.mp4,0,0,0,C,C
440828,212,clip_av_video_13_000.mp4,1,1,0,B,B
440828,213,clip_av_video_13_001.mp4,0,0,0,A,A
440828,214,clip_av_video_13_001.mp4,0,0,0,A,A
440828,215,clip_av_video_13_002.mp4,1,1,0,A,A
440828,216,clip_av_video_13_002.mp4,0,0,0,A,A
440828,217,clip_av_video_13_002.mp4,1,1,0,D,D
440828,218,clip_av_video_13_002.mp4,1,1,0,B,B
440828,219,clip_av_video_13_002.mp4,1,1,0,A,A
440828,220,clip_av_video_13_002.mp4,1,1,0,D,D
440828,221,clip_av_video_13_002.mp4,1,1,0,D,D
440828,222,clip_av_video_13_003.mp4,1,1,0,C,C
440828,223,clip_av_video_13_003.mp4,0,0,0,C,D
440828,224,clip_av_video_13_003.mp4,0,0,0,C,C
440828,225,clip_av_video_13_003.mp4,1,1,0,A,A
440828,226,clip_av_video_13_003.mp4,0,0,0,B,B
440828,227,clip_av_video_13_004.mp4,1,1,0,C,C
440828,228,clip_av_video_20_000.mp4,0,0,0,D,D
440828,229,clip_av_video_11_000.mp4,1,1,0,B,B
440828,230,clip_av_video_13_004.mp4,1,1,0,D,D
440828,231,clip_av_video_14_000.mp4,1,0,1,B,C
440828,232,clip_av_video_1_000.mp4,0,0,0,D,D
440828,233,clip_av_video_20_000.mp4,1,1,0,B,B
440828,234,clip_av_video_21_000.mp4,0,0,0,C,B
440828,235,clip_av_video_21_001.mp4,0,0,0,B,B
440828,236,clip_av_video_24_000.mp4,0,0,0,A,A
440828,237,clip_av_video_24_001.mp4,1,1,0,D,D
440828,238,clip_av_video_24_004.mp4,0,0,0,C,C
440828,239,clip_av_video_24_005.mp4,0,0,0,D,D
440828,240,clip_av_video_4_000.mp4,0,1,-1,D,C
440828,241,clip_av_video_6_001.mp4,0,0,0,B,B
440828,242,clip_av_video_7_000.mp4,1,1,0,B,B
440828,243,clip_av_video_7_001.mp4,0,0,0,A,A
440828,244,clip_av_video_9_001.mp4,1,0,1,D,A
440828,245,clip_household_video_11_000.mp4,0,0,0,A,A
440828,246,clip_household_video_17_000.mp4,0,0,0,A,A
440828,247,clip_household_video_17_000.mp4,0,0,0,B,B
440828,248,clip_household_video_17_000.mp4,1,1,0,C,C
440828,249,clip_household_video_17_001.mp4,1,1,0,B,B
440828,250,clip_household_video_17_001.mp4,1,1,0,B,B
440828,251,clip_household_video_19_000.mp4,1,1,0,A,A
440828,252,clip_household_video_19_001.mp4,1,1,0,B,B
440828,253,clip_household_video_19_002.mp4,1,1,0,C,C
440828,254,clip_household_video_19_002.mp4,1,0,1,A,B
440828,255,clip_household_video_19_003.mp4,0,0,0,B,B
440828,256,clip_household_video_19_004.mp4,1,0,1,D,C
440828,257,clip_household_video_19_005.mp4,0,0,0,C,C
440828,258,clip_household_video_19_005.mp4,0,0,0,B,B
440828,259,clip_household_video_19_005.mp4,0,0,0,C,C
440828,260,clip_household_video_19_006.mp4,1,1,0,C,C
440828,261,clip_household_video_19_006.mp4,1,1,0,D,D
440828,262,clip_household_video_19_006.mp4,1,1,0,A,A
440828,263,clip_household_video_4_000.mp4,1,1,0,A,A
440828,264,clip_household_video_4_000.mp4,0,0,0,B,B
440828,265,clip_household_video_9_000.mp4,0,0,0,C,C
440828,266,clip_household_video_9_000.mp4,0,0,0,C,C
440828,267,clip_household_video_9_000.mp4,1,1,0,B,B
